产品,情绪,关键词,频次
黄油小姐,正面,黄油小姐,357
黄油小姐,正面,可可狼姬,61
黄油小姐,正面,小姐,50
黄油小姐,正面,油小姐,32
黄油小姐,正面,分钟,19
黄油小姐,正面,的黄油小,17
黄油小姐,正面,慢玩,15
黄油小姐,正面,二代,15
黄油小姐,正面,星梨奈,14
黄油小姐,正面,和黄油小,13
黄油小姐,负面,黄油小姐,24
黄油小姐,负面,可可狼姬,10
黄油小姐,负面,小姐,5
黄油小姐,负面,个杯子,3
黄油小姐,负面,分钟,3
黄油小姐,负面,从几十块,3
黄油小姐,负面,贵了,2
黄油小姐,负面,油小姐,2
黄油小姐,负面,外观上就,2
黄油小姐,负面,不说了,2
可可狼姬,正面,可可狼姬,227
可可狼姬,正面,黄油小姐,80
可可狼姬,正面,狼姬,42
可可狼姬,正面,可可,34
可可狼姬,正面,可狼姬,31
可可狼姬,正面,二代,20
可可狼姬,正面,斐济杯,17
可可狼姬,正面,星梨奈,17
可可狼姬,正面,黄油,14
可可狼姬,正面,赤鸢,13
可可狼姬,负面,可可狼姬,19
可可狼姬,负面,黄油小姐,9
可可狼姬,负面,狼姬,4
可可狼姬,负面,外观上就,2
可可狼姬,负面,不说了,2
可可狼姬,负面,是黑皮狂,2
可可狼姬,负面,野系,2
可可狼姬,负面,是白嫩萌,2
可可狼姬,负面,只能各花,2
可可狼姬,负面,入各眼吧,2
星梨奈,正面,星梨奈,109
星梨奈,正面,黄油小姐,28
星梨奈,正面,梨奈,25
星梨奈,正面,可可狼姬,22
星梨奈,正面,星梨奈可,20
星梨奈,正面,星梨奈是,18
星梨奈,正面,半身,16
星梨奈,正面,赤鸢,16
星梨奈,正面,星梨奈二,15
星梨奈,正面,不错,15
星梨奈,负面,星梨奈,6
星梨奈,负面,半身,4
星梨奈,负面,分钟左右,2
星梨奈,负面,趁着活动,2
星梨奈,负面,么选呢,2
星梨奈,负面,多了,2
星梨奈,负面,最近想弄,2
星梨奈,负面,玩玩,2
星梨奈,负面,还没有用,2
星梨奈,负面,感觉星梨,2
诺诺亚,正面,诺诺亚,52
诺诺亚,正面,诺亚,23
诺诺亚,正面,诺诺亚的,22
诺诺亚,正面,黄油小姐,12
诺诺亚,正面,诺诺亚是,9
诺诺亚,正面,可可狼姬,9
诺诺亚,正面,星梨奈,9
诺诺亚,正面,功能,8
诺诺亚,正面,诺诺亚还,8
诺诺亚,正面,诺诺亚这,8
诺诺亚,负面,么选呢,2
诺诺亚,负面,说实话,2
诺诺亚,负面,我对电动,2
诺诺亚,负面,杯这个品,2
诺诺亚,负面,类早就有,2
诺诺亚,负面,点心痒了,2
诺诺亚,负面,但一直被,2
诺诺亚,负面,清洗麻烦,2
诺诺亚,负面,容易漏液,2
诺诺亚,负面,震感麻木,2
赤鸢,正面,赤鸢生日,1120
赤鸢,正面,快乐,1118
赤鸢,正面,赤鸢,953
赤鸢,正面,许愿要个,872
赤鸢,正面,半身,21
赤鸢,正面,黄油小姐,21
赤鸢,正面,可可狼姬,19
赤鸢,正面,星梨奈,15
赤鸢,正面,不错,14
赤鸢,正面,社长娜娜,11
赤鸢,负面,赤鸢,8
赤鸢,负面,可可狼姬,5
赤鸢,负面,半身,3
赤鸢,负面,前通道多,2
赤鸢,负面,达十层的,2
赤鸢,负面,螺纹,2
赤鸢,负面,一层一层,2
赤鸢,负面,堆积在深,2
赤鸢,负面,入口还有,2
赤鸢,负面,大颗粒肉,2
猫娘,正面,炎龙魔女,6
猫娘,正面,猫娘,6
猫娘,正面,猫娘兔娘,5
猫娘,正面,新手,4
猫娘,正面,拿在手里,4
猫娘,正面,黄油小姐,3
猫娘,正面,可可狼姬,3
猫娘,正面,美优酱,3
猫娘,正面,那种,3
猫娘,正面,锻炼飞机,2
猫娘,负面,以前一个,2
猫娘,负面,人住,2
猫娘,负面,总觉得晚,2
猫娘,负面,上时间特,2
猫娘,负面,别难熬,2
猫娘,负面,后来入手,2
猫娘,负面,的猫娘之,2
猫娘,负面,后才明白,2
猫娘,负面,有些东西,2
猫娘,负面,真的是为,2
蜜桃,正面,蜜桃,5
蜜桃,正面,关键词,4
蜜桃,正面,分钟,4
蜜桃,正面,打厚码,3
蜜桃,正面,黄油小姐,3
蜜桃,正面,来说,3
蜜桃,正面,小姐,3
蜜桃,正面,适合新手,3
蜜桃,正面,用了两周,3
蜜桃,正面,地晃,3
蜜桃,负面,我手机拍,1
蜜桃,负面,的有色差,1
蜜桃,负面,实物是那,1
蜜桃,负面,种很含蓄,1
蜜桃,负面,的蜜桃粉,1
蜜桃,负面,不是艳粉,1
蜜桃,负面,也不是肉,1
蜜桃,负面,就是那种,1
蜜桃,负面,你懂吧,1
蜜桃,负面,少女脸红,1
莓莓兔,正面,莓莓兔生,625
莓莓兔,正面,日快乐,622
莓莓兔,正面,哇哦,562
莓莓兔,正面,生日快乐,484
莓莓兔,正面,祝莓莓兔,482
莓莓兔,正面,莓莓兔,45
莓莓兔,正面,可可狼姬,19
莓莓兔,正面,黄油小姐,16
莓莓兔,正面,半身,15
莓莓兔,正面,莓莓兔的,11
莓莓兔,负面,出差给兄,1
莓莓兔,负面,嘚买的莓,1
莓莓兔,负面,莓兔,1
莓莓兔,负面,怎么感觉,1
莓莓兔,负面,他比见到,1
莓莓兔,负面,我还激动,1
莓莓兔,负面,听说这款,1
莓莓兔,负面,比较刺激,1
莓莓兔,负面,期待有效,1
莓莓兔,负面,兄嘚能锻,1
